"TOA5","Cal_Pluv","CR1000","63522","CR1000.Std.32.03","CPU:EnsaioIR_4pluv.CR1","59817","Basculada"
"TIMESTAMP","RECORD","c","vazao","deltaT","massaT","IRm","IRr","IRrmed"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-06-14 10:25:25.18",186,50,1.5,5.799995,7375.6,254.483,337.6408,280.2426
"2023-06-14 10:25:30.78",187,51,1,5.599996,7381.4,263.5716,225.0939,281.7428
"2023-06-14 10:25:33.78",188,52,1.5,2.999998,7384.9,492.0004,337.6408,279.116
"2023-06-14 10:25:39.06",189,53,1.399902,5.279996,7392.1,279.5457,315.1095,282.1183
"2023-06-14 10:25:44.62",190,54,1,5.559996,7397.9,265.4678,225.0939,278.365
"2023-06-14 10:25:50.08",191,55,2.100098,5.459996,7404.5,270.3299,472.7191,274.9889
"2023-06-14 10:25:55.64",192,56,0.5,5.539996,7410.7,266.4262,112.5469,273.8642
"2023-06-14 10:26:01.34",193,57,0.6000977,5.679996,7417.9,259.8593,135.0783,268.6124
"2023-06-14 10:26:04.18",194,58,2.799805,2.839998,7423.3,519.7187,630.2189,277.6158
"2023-06-14 10:26:09.76",195,59,0.7001953,5.559996,7428.7,265.4678,157.6097,275.3663
"2023-06-14 10:26:18.32",196,60,1.800293,8.560006,7440.1,172.4298,405.2349,277.9913
"2023-06-14 10:26:20.96",197,61,2,2.639998,7442.7,559.0913,450.1877,278.7423
"2023-06-14 10:26:29.08",198,62,0.7998047,8.059995,7452.8,183.1267,180.0311,271.6129
"2023-06-14 10:26:31.64",199,63,0.6000977,2.559998,7455,576.5629,135.0783,272.7395
"2023-06-14 10:26:34.72",200,64,2.5,3.079998,7460,479.2211,562.7347,276.8647
"2023-06-14 10:26:40.2",201,65,2.599609,5.479996,7465.8,269.3433,585.1562,273.1132
"2023-06-14 10:26:46.14",202,66,2.300293,5.939995,7473.1,248.485,517.7819,272.364
